"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"35380","New Orleans-Metairie-Kenner, LA","359","136","141","58","24",".","200","132","57",".","5","88","135","130","1"
"35420","New Philadelphia-Dover, OH","366","331","35",".",".",".","90","49","20",".",".",".","366",".","."
"35620","New York-Northern New Jersey-Long Island, NY-NJ-PA","366","54","268","41","3",".","164","106","66",".","30","47","22","267","."
"35660","Niles-Benton Harbor, MI","113","77","36",".",".",".","95","65","36",".",".",".",".","113","."
"35700","Nogales, AZ","356","173","168","15",".",".","140","81","51",".",".",".",".","27","329"
"35980","Norwich-New London, CT","349","252","89","8",".",".","147","68","39",".",".","122",".","227","."
"36100","Ocala, FL","366","290","76",".",".",".","93","57","37",".",".","164",".","202","."
"36180","Ocean Pines, MD","161","123","35","3",".",".","119","67","43",".",".","161",".",".","."
"36220","Odessa, TX","366","303","62","1",".",".","115","54","33",".",".",".",".","366","."
"36260","Ogden-Clearfield, UT","366","179","174","13",".",".","143","86","51","4","111","86",".","161","4"
"36300","Ogdensburg-Massena, NY","45","44","1",".",".",".","61","43","19",".",".",".",".","45","."
"36420","Oklahoma City, OK","366","264","97","5",".",".","122","64","42",".","44","249",".","72","1"
"36500","Olympia, WA","362","291","67","4",".",".","140","62","31",".",".","113",".","249","."
"36540","Omaha-Council Bluffs, NE-IA","366","44","309","13",".",".","127","89","66",".",".","4","22","281","59"
"36740","Orlando-Kissimmee, FL","366","262","102","2",".",".","122","63","43",".","2","114",".","250","."
"36860","Ottawa-Streator, IL","366","213","110","24","19",".","200","109","45",".",".",".","67","270","29"
"36980","Owensboro, KY","360","215","143","2",".",".","115","70.5","45",".","12","105","26","217","."
"37100","Oxnard-Thousand Oaks-Ventura, CA","366","210","125","31",".",".","150","100","46",".",".","317",".","49","."
"37140","Paducah, KY-IL","365","250","115",".",".",".","97","67","42",".","31","120","19","194","1"
"37220","Pahrump, NV","359","340","17","2",".",".","135","41","21",".",".",".",".",".","359"
"37260","Palatka, FL","366","356","9",".","1",".","157","31","19",".",".",".","57",".","309"
"37340","Palm Bay-Melbourne-Titusville, FL","366","292","73","1",".",".","104","56","39",".",".","151","3","212","."
"37460","Panama City-Lynn Haven, FL","366","303","60","3",".",".","124","58","35",".",".","292",".","69","5"
"37620","Parkersburg-Marietta-Vienna, WV-OH","366","234","111","20","1",".","198","84","42",".",".","121","178","67","."
"37700","Pascagoula, MS","327","185","138","4",".",".","140","66","48",".","4","42","10","271","."
"37740","Payson, AZ","366","93","121","130","22",".","200","139","87",".",".","60","297","3","6"
"37820","Pendleton-Hermiston, OR","364","275","83","6",".",".","124","70","36",".","5","160",".","199","."
"37860","Pensacola-Ferry Pass-Brent, FL","366","197","149","20",".",".","133","84","48",".",".","108","53","205","."
"37900","Peoria, IL","366","171","176","14","5",".","189","79","52","2",".","67","69","228","."
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","366","88","239","35","3","1","260","101","60",".","29","69","27","240","1"
"38020","Phoenix Lake-Cedar Ridge, CA","366","275","68","18","5",".","197","87","42",".",".","366",".",".","."
"38060","Phoenix-Mesa-Scottsdale, AZ","366","44","131","107","60","24","505","186","104",".","36","43",".","18","269"
"38300","Pittsburgh, PA","366","35","232","88","11",".","200","122","76",".","10","7","169","180","."
"38340","Pittsfield, MA","366","262","101","2","1",".","161","64","39.5",".",".","95",".","271","."
"38420","Platteville, WI","116","61","53","2",".",".","143","70","48",".",".",".",".","116","."
"38540","Pocatello, ID","363","230","125","7","1",".","168","69","43",".",".",".","163","157","43"
"38620","Ponca City, OK","366","291","73","2",".",".","135","57","38",".",".","174","58","47","87"
"38660","Ponce, PR","96","91","5",".",".",".","56","44","26",".",".",".",".","44","52"
"38820","Port Angeles, WA","366","295","71",".",".",".","84","57","38",".",".","207",".","159","."
"38860","Portland-South Portland-Biddeford, ME","366","313","50","3",".",".","111","55","36",".","43","253","6","59","5"
